circle,0.6,True
436,16.80000,-1.40000
437,18.20000,-1.40000
438,19.60000,-1.40000
439,21.00000,-1.40000
440,-21.00000,-2.80000
441,-19.60000,-2.80000
442,-18.20000,-2.80000
443,-16.80000,-2.80000
444,-15.40000,-2.80000
445,-14.00000,-2.80000
446,-12.60000,-2.80000
447,-11.20000,-2.80000
448,-9.80000,-2.80000
449,-8.40000,-2.80000
450,-7.00000,-2.80000
451,-5.60000,-2.80000
452,-4.20000,-2.80000
453,-2.80000,-2.80000
454,-1.40000,-2.80000
455,0.00000,-2.80000
456,1.40000,-2.80000
457,2.80000,-2.80000
458,4.20000,-2.80000
459,5.60000,-2.80000
460,7.00000,-2.80000
461,8.40000,-2.80000
462,9.80000,-2.80000
463,11.20000,-2.80000
464,12.60000,-2.80000
465,14.00000,-2.80000
466,15.40000,-2.80000
467,16.80000,-2.80000
468,18.20000,-2.80000
469,19.60000,-2.80000
470,21.00000,-2.80000
471,-21.00000,-4.20000
472,-19.60000,-4.20000
473,-18.20000,-4.20000
474,-16.80000,-4.20000
475,-15.40000,-4.20000
476,-14.00000,-4.20000
477,-12.60000,-4.20000
478,-11.20000,-4.20000
479,-9.80000,-4.20000
480,-8.40000,-4.20000
481,-7.00000,-4.20000
482,-5.60000,-4.20000
483,-4.20000,-4.20000
484,-2.80000,-4.20000
485,-1.40000,-4.20000
486,0.00000,-4.20000
487,1.40000,-4.20000
488,2.80000,-4.20000
489,4.20000,-4.20000
490,5.60000,-4.20000
491,7.00000,-4.20000
492,8.40000,-4.20000
493,9.80000,-4.20000
494,11.20000,-4.20000
495,12.60000,-4.20000
496,14.00000,-4.20000
497,15.40000,-4.20000
498,16.80000,-4.20000
499,18.20000,-4.20000
500,19.60000,-4.20000
501,21.00000,-4.20000
502,-21.00000,-5.60000
503,-19.60000,-5.60000
504,-18.20000,-5.60000
505,-16.80000,-5.60000
506,-15.40000,-5.60000
507,-14.00000,-5.60000
508,-12.60000,-5.60000
509,-11.20000,-5.60000
510,-9.80000,-5.60000
511,-8.40000,-5.60000
512,-7.00000,-5.60000
513,-5.60000,-5.60000
514,-4.20000,-5.60000
515,-2.80000,-5.60000
516,-1.40000,-5.60000
517,0.00000,-5.60000
518,1.40000,-5.60000
519,2.80000,-5.60000
520,4.20000,-5.60000
521,5.60000,-5.60000
522,7.00000,-5.60000
523,8.40000,-5.60000
524,9.80000,-5.60000
525,11.20000,-5.60000
526,12.60000,-5.60000
527,14.00000,-5.60000
528,15.40000,-5.60000
529,16.80000,-5.60000
530,18.20000,-5.60000
531,19.60000,-5.60000
532,21.00000,-5.60000
533,-19.60000,-7.00000
534,-18.20000,-7.00000
535,-16.80000,-7.00000
536,-15.40000,-7.00000
537,-14.00000,-7.00000
538,-12.60000,-7.00000
539,-11.20000,-7.00000
540,-9.80000,-7.00000
541,-8.40000,-7.00000
542,-7.00000,-7.00000
543,-5.60000,-7.00000
544,-4.20000,-7.00000
545,-2.80000,-7.00000
546,-1.40000,-7.00000
547,0.00000,-7.00000
548,1.40000,-7.00000
549,2.80000,-7.00000
550,4.20000,-7.00000
551,5.60000,-7.00000
552,7.00000,-7.00000
553,8.40000,-7.00000
554,9.80000,-7.00000
555,11.20000,-7.00000
556,12.60000,-7.00000
557,14.00000,-7.00000
558,15.40000,-7.00000
559,16.80000,-7.00000
560,18.20000,-7.00000
561,19.60000,-7.00000
562,-19.60000,-8.40000
563,-18.20000,-8.40000
564,-16.80000,-8.40000
565,-15.40000,-8.40000
566,-14.00000,-8.40000
567,-12.60000,-8.40000
568,-11.20000,-8.40000
569,-9.80000,-8.40000
570,-8.40000,-8.40000
571,-7.00000,-8.40000
572,-5.60000,-8.40000
573,-4.20000,-8.40000
574,-2.80000,-8.40000
575,-1.40000,-8.40000
576,0.00000,-8.40000
577,1.40000,-8.40000
578,2.80000,-8.40000
579,4.20000,-8.40000
580,5.60000,-8.40000
581,7.00000,-8.40000
582,8.40000,-8.40000
583,9.80000,-8.40000
584,11.20000,-8.40000
585,12.60000,-8.40000
586,14.00000,-8.40000
587,15.40000,-8.40000
588,16.80000,-8.40000
589,18.20000,-8.40000
590,19.60000,-8.40000
591,-19.60000,-9.80000
592,-18.20000,-9.80000
593,-16.80000,-9.80000
594,-15.40000,-9.80000
595,-14.00000,-9.80000
596,-12.60000,-9.80000
597,-11.20000,-9.80000
598,-9.80000,-9.80000
599,-8.40000,-9.80000
600,-7.00000,-9.80000
601,-5.60000,-9.80000
602,-4.20000,-9.80000
603,-2.80000,-9.80000
604,-1.40000,-9.80000
605,0.00000,-9.80000
606,1.40000,-9.80000
607,2.80000,-9.80000
608,4.20000,-9.80000
609,5.60000,-9.80000
610,7.00000,-9.80000
611,8.40000,-9.80000
612,9.80000,-9.80000
613,11.20000,-9.80000
614,12.60000,-9.80000
615,14.00000,-9.80000
616,15.40000,-9.80000
617,16.80000,-9.80000
618,18.20000,-9.80000
619,19.60000,-9.80000
620,-18.20000,-11.20000
621,-16.80000,-11.20000
622,-15.40000,-11.20000
623,-14.00000,-11.20000
624,-12.60000,-11.20000
625,-11.20000,-11.20000
626,-9.80000,-11.20000
627,-8.40000,-11.20000
628,-7.00000,-11.20000
629,-5.60000,-11.20000
630,-4.20000,-11.20000
631,-2.80000,-11.20000
632,-1.40000,-11.20000
633,0.00000,-11.20000
634,1.40000,-11.20000
635,2.80000,-11.20000
636,4.20000,-11.20000
637,5.60000,-11.20000
638,7.00000,-11.20000
639,8.40000,-11.20000
640,9.80000,-11.20000
641,11.20000,-11.20000
642,12.60000,-11.20000
643,14.00000,-11.20000
644,15.40000,-11.20000
645,16.80000,-11.20000
